feature_name,rule,rate_2008,rate_2009,rate_2010,rate_2011,rate_2012,rate_2013,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018,rate_2019,rate_2021,rate_2022,rate_2023,rate_2024,rate_2025,rate_2026,target_window_rate,target_window_years,threshold,cut
avg_experience,non_zero,0.9752,0.9915,0.9921,0.9685,0.9918,1.0,0.9924,0.9926,0.9627,0.9917,0.9771,0.9844,0.9835,0.9919,0.9919,0.9771,0.9776,0.9844,0.9856,14,0.8,KEEP
bench_depth,non_zero,1.0,0.9658,0.8898,0.9449,0.9344,0.8952,1.0,1.0,0.9701,1.0,1.0,0.9922,1.0,1.0,1.0,1.0,1.0,1.0,0.9851,14,0.8,KEEP
injury_risk,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
lead_volatility,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
entropy,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
lead_sustainability,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
comeback_factor,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
xp_per_poss,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
shot_distribution,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
sos_adj_em,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
